Subject number,Word recall result day 1,Study words
57,1,'גבעה'
57,0,'דיג'
57,0,'מלתחה'
57,0,'שלט'
57,0,'כיסא'
57,0,'דפדפת'
57,0,'שדכן'
57,1,'ביצה'
58,1,'תירס'
58,1,'דפדפת'
58,0,'דגל'
58,0,'עגלה'
58,1,'כתר'
58,1,'מלתחה'
58,1,'ארון'
58,0,'שליח'
58,0,'עציץ'
58,1,'בלון'
58,0,'רמקול'
58,0,'קלסר'
58,1,'מקלדת'
58,0,'כובע'
58,0,'דיג'
58,0,'מדבקה'
58,0,'מדרכה'
58,1,'מדשאה'
58,1,'מכתבה'
58,0,'שדכן'
58,0,'מכולת'
58,0,'מחק'
58,1,'שלט'
58,1,'חמאה'
58,0,'גבעה'
58,1,'מכנס'
58,1,'דגן'
58,0,'מכללה'
58,0,'שמפו'
58,0,'חליל'
58,0,'כיסא'
58,0,'ביצה'
59,0,'דפדפת'
59,1,'מדבקה'
59,1,'מדרכה'
59,1,'דגל'
59,1,'כובע'
59,1,'מכתבה'
59,0,'שמפו'
59,0,'תירס'
59,0,'עגלה'
59,1,'גבעה'
59,0,'חמאה'
59,0,'מקלדת'
59,0,'ביצה'
59,0,'דגן'
59,0,'דיג'
59,0,'קלסר'
59,1,'שדכן'
59,0,'שלט'
59,1,'כיסא'
59,1,'חליל'
59,0,'שליח'
59,1,'מחק'
59,1,'ארון'
59,0,'בלון'
59,1,'מדשאה'
59,0,'רמקול'
59,1,'כתר'
59,1,'עציץ'
59,1,'מכנס'
59,1,'מלתחה'
59,1,'מכללה'
59,0,'מכולת'
60,1,'דגן'
60,1,'שדכן'
60,0,'שליח'
60,0,'כובע'
60,0,'מחק'
60,1,'ארון'
60,0,'גבעה'
60,1,'עגלה'
60,0,'שלט'
60,1,'מכתבה'
60,0,'מכולת'
60,0,'מקלדת'
60,0,'מדרכה'
60,0,'שמפו'
60,0,'דפדפת'
60,0,'תירס'
60,0,'חמאה'
60,0,'דגל'
60,1,'כיסא'
60,0,'מדבקה'
60,0,'עציץ'
60,0,'מכללה'
60,0,'כתר'
60,0,'חליל'
60,0,'מכנס'
60,0,'דיג'
60,0,'קלסר'
60,0,'רמקול'
60,0,'בלון'
60,0,'מלתחה'
60,0,'מדשאה'
60,0,'ביצה'
61,0,'כיסא'
61,1,'שלט'
61,1,'רמקול'
61,1,'שדכן'
61,1,'בלון'
61,1,'תירס'
61,0,'שמפו'
61,1,'חמאה'
61,0,'מלתחה'
61,0,'ארון'
61,1,'מקלדת'
61,1,'דפדפת'
61,0,'מכנס'
61,0,'מחק'
